




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-02-02
Analyzed List:	upload_1 (Xenopus tropicalis)
Reference List:	Xenopus tropicalis (all genes in database)
Test Type:	FISHER
GO biological process complete	Xenopus tropicalis - REFLIST (24177)	upload_1 (639)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of macromolecule metabolic process (GO:0060255)	2443	136	64.57	+	2.11	2.76E-16	1.13E-13
cation transmembrane transport (GO:0098655)	470	26	12.42	+	2.09	7.66E-04	2.00E-02
positive regulation of cellular metabolic process (GO:0031325)	708	39	18.71	+	2.08	3.14E-05	1.45E-03
positive regulation of nitrogen compound metabolic process (GO:0051173)	691	38	18.26	+	2.08	4.20E-05	1.83E-03
regulation of metabolic process (GO:0019222)	2554	140	67.50	+	2.07	3.53E-16	1.37E-13
regulation of biological quality (GO:0065008)	1015	55	26.83	+	2.05	1.43E-06	9.97E-05
cation transport (GO:0006812)	597	32	15.78	+	2.03	2.85E-04	9.34E-03
oxoacid metabolic process (GO:0043436)	458	24	12.10	+	1.98	2.06E-03	4.50E-02
organic acid metabolic process (GO:0006082)	459	24	12.13	+	1.98	2.10E-03	4.57E-02
transmembrane transport (GO:0055085)	978	49	25.85	+	1.90	4.51E-05	1.94E-03
positive regulation of cellular process (GO:0048522)	1084	54	28.65	+	1.88	1.94E-05	9.29E-04
cellular nitrogen compound biosynthetic process (GO:0044271)	1234	61	32.61	+	1.87	5.33E-06	3.05E-04
regulation of cellular protein metabolic process (GO:0032268)	755	37	19.95	+	1.85	5.38E-04	1.56E-02
regulation of protein metabolic process (GO:0051246)	781	38	20.64	+	1.84	4.63E-04	1.40E-02
regulation of cell communication (GO:0010646)	935	45	24.71	+	1.82	1.85E-04	6.41E-03
positive regulation of biological process (GO:0048518)	1216	58	32.14	+	1.80	2.54E-05	1.19E-03
regulation of signaling (GO:0023051)	949	45	25.08	+	1.79	2.97E-04	9.66E-03
cellular macromolecule biosynthetic process (GO:0034645)	1321	62	34.91	+	1.78	2.29E-05	1.09E-03
cell surface receptor signaling pathway (GO:0007166)	854	40	22.57	+	1.77	7.62E-04	1.99E-02
regulation of signal transduction (GO:0009966)	877	41	23.18	+	1.77	6.24E-04	1.71E-02
macromolecule biosynthetic process (GO:0009059)	1327	62	35.07	+	1.77	2.45E-05	1.16E-03
cellular component organization (GO:0016043)	2177	99	57.54	+	1.72	2.16E-07	1.84E-05
RNA metabolic process (GO:0016070)	1309	59	34.60	+	1.71	1.02E-04	3.89E-03
cellular biosynthetic process (GO:0044249)	1777	77	46.97	+	1.64	3.38E-05	1.52E-03
organic substance biosynthetic process (GO:1901576)	1826	79	48.26	+	1.64	3.02E-05	1.40E-03
cellular component organization or biogenesis (GO:0071840)	2329	99	61.56	+	1.61	3.95E-06	2.31E-04
biosynthetic process (GO:0009058)	1877	79	49.61	+	1.59	7.24E-05	2.92E-03
gene expression (GO:0010467)	1496	62	39.54	+	1.57	6.63E-04	1.78E-02
cellular aromatic compound metabolic process (GO:0006725)	2091	84	55.27	+	1.52	1.65E-04	5.89E-03
organic cyclic compound metabolic process (GO:1901360)	2153	83	56.90	+	1.46	7.42E-04	1.95E-02
nucleobase-containing compound metabolic process (GO:0006139)	2001	77	52.89	+	1.46	1.39E-03	3.23E-02
biological regulation (GO:0065007)	7503	287	198.30	+	1.45	5.17E-13	1.23E-10
regulation of biological process (GO:0050789)	6989	265	184.72	+	1.43	2.90E-11	5.10E-09
heterocycle metabolic process (GO:0046483)	2067	78	54.63	+	1.43	2.08E-03	4.54E-02
regulation of cellular process (GO:0050794)	6717	246	177.53	+	1.39	7.55E-09	8.85E-07
localization (GO:0051179)	2498	91	66.02	+	1.38	2.03E-03	4.48E-02
biological_process (GO:0008150)	14421	484	381.15	+	1.27	3.67E-17	2.08E-14
cellular process (GO:0009987)	10579	354	279.60	+	1.27	6.80E-09	8.09E-07
Unclassified (UNCLASSIFIED)	9756	155	257.85	-	.60	3.67E-17	1.93E-14
proteolysis (GO:0006508)	907	9	23.97	-	.38	8.77E-04	2.17E-02
G-protein coupled receptor signaling pathway (GO:0007186)	1928	17	50.96	-	.33	3.61E-08	3.86E-06
nervous system process (GO:0050877)	678	3	17.92	-	.17	3.73E-05	1.65E-03
protein transport (GO:0015031)	487	2	12.87	-	.16	4.47E-04	1.37E-02
peptide transport (GO:0015833)	494	2	13.06	-	.15	4.58E-04	1.39E-02
establishment of protein localization (GO:0045184)	497	2	13.14	-	.15	4.67E-04	1.41E-02
amide transport (GO:0042886)	505	2	13.35	-	.15	3.15E-04	1.02E-02
sensory perception (GO:0007600)	653	2	17.26	-	.12	1.33E-05	6.77E-04
DNA metabolic process (GO:0006259)	443	1	11.71	-	.09	2.07E-04	7.08E-03
detection of stimulus (GO:0051606)	587	0	15.51	-	 < 0.01	4.15E-07	3.40E-05
ncRNA metabolic process (GO:0034660)	298	0	7.88	-	 < 0.01	6.92E-04	1.84E-02
ribonucleoprotein complex biogenesis (GO:0022613)	278	0	7.35	-	 < 0.01	1.63E-03	3.66E-02
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	478	0	12.63	-	 < 0.01	6.27E-06	3.51E-04
detection of chemical stimulus involved in sensory perception (GO:0050907)	533	0	14.09	-	 < 0.01	1.28E-06	9.17E-05
detection of stimulus involved in sensory perception (GO:0050906)	542	0	14.33	-	 < 0.01	1.35E-06	9.47E-05
sensory perception of smell (GO:0007608)	481	0	12.71	-	 < 0.01	6.40E-06	3.55E-04
sensory perception of chemical stimulus (GO:0007606)	551	0	14.56	-	 < 0.01	8.69E-07	6.48E-05
detection of chemical stimulus (GO:0009593)	536	0	14.17	-	 < 0.01	1.29E-06	9.14E-05
